ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
Lyce Les Lombards;Troyes;0100025Y;0100025Y;10387
ESC Troyes;Troyes;0101059X;0101059X;10387
Universit de Technologie de Troyes (UTT);Troyes;0101060Y;0101060Y;10387
EPF Ecole d'ingnieurs;Troyes;0920674H;0101131A;10325
EPF Troyes;Troyes;0920674H;0101131A;10325
Groupe ESC Troyes;Troyes;0101059X;0101059X;10387
EPF Ecole dIngnieur;Troyes;0920674H;0101131A;10325
EPF Ecole d'Ingnieur;Troyes;0920674H;0101131A;10325
Universit de technologie de Troyes;Troyes;0101060Y;0101060Y;10387
IUT de TROYES;TROYES (10);0511296G;0100684P;10387
IUT du Limousin;Tulle;0870669E;0190862J;19272
Universit de Technologie de l'information de Tunis;Tunis;ETRANGERPR;ETRANGERPR;Tunis
Universit Internationale de Tunis;Tunis;ETRANGERPR;ETRANGERPR;Tunis
Pacific university ;Udaipur,Rajasthan;ETRANGERPR;ETRANGERPR;Udaipur
IUT (Institut Universitaire Technologique);Universit de Nice Sophia Antipolis - NICE;0060931E;0060914L;06088
Universite Paris Est Creteil  Val de marne;Val de Marne;0941111X;0941111X;94028
IUT SOPHIA ANTIPOLIS;VALBONNE;0060931E;0061817T;06152
IAE Grenoble - IUT Valence;Valence;0383493R;0260998U;26362
Universit Pierre Mendes France;Valence;0381839T;0381839T;26362
Camille Vernet ;VALENCE;0260035X;0260035X;26362
Universit Stendhal ;Valence;0383493R;0261483W;26362
IUT de Valence;Valence;0383493R;0260998U;26362
UJF Valence;Valence;0383493R;0381838S;26362
Universit Joseph Fourier Valence;Valence;0383493R;0381838S;26362
IUT de Valence;Valence (26000);0383493R;0260998U;26362
ETSIT, Universitat Politcnica de Valncia;Valencia, Espagne;ETRANGERPU;ETRANGERPU;Valence
UVHC;Valenciennes;0593279U;0593279U;59606
universit;valenciennes;0593279U;0593279U;59606
UVHC IAE Valenciennes;Valenciennes ;0593279U;0596400L;59606
Lycee du Hainaut;Valenciennes;0590223X;0590223X;59606
ESSTIN;Vandoeuvre ls Nancy;0542493S;0540130Y;54547
Ecole Nationale Suprieure d'Agronomie et d'Industrie Alimentaire;Vandoeuvre ls Nancy;0542493S;0540109A;54547
ESSTIN;Vandoeuvre-les-Nancy;0542493S;0540130Y;54547
Facult de mdecine;Vandoeuvre-les-Nancy;0542493S;0541669W;54547
Universit de Lorraine FST;Vandoeuvre-les-Nancy;0542493S;0542485H;54547
ESSTIN;Vandoeuvre-ls-Nancy;0542493S;0540130Y;54547
Universit de Lorraine;Vandoeuvre-ls-Nancy;0542493S;0542493S;54547
Ecole Nationale d'Electricit et de Mcanique;Vandoeuvre-ls-Nancy;0542493S;0540121N;54547
IUT de Vannes;Vannes;0561718N;0560861G;56260
ICAM Bretagne;VANNES;0755373H;0561895F;56260
Lyce Charles de Gaulle;Vannes;0561627P;0561627P;56260
Lyce Michelet ;Vanves;0920149M;0920149M;92075
cole Nationale des Travaux Publics de l'tat;Vaulx-en-Velin;0692566P;0692566P;69256
UVSQ;Versailles;0781944P;0781944P;78646
Universit de Versailles Saint-Quentin en Yvelines (UVSQ);Versailles;0781944P;0781944P;78646
PMM Colbert;Versailles;;;78646
Lyce Priv Sainte Genevive;Versailles;0783053V;0783053V;78646
Universit de Franche Comt Vesoul;Vesoul;0251215K;0251215K;70550
Claude Bernard  ;Villefranche sur saone ;0690097F;0690097F;69264
Universit Paris-Est Marne-La-Valle;Villejuif;0772502B;0772502B;94076
Universit de Marne-la-Valle;Villejuif;0772502B;0772502B;94076
EFREI;Villejuif;0941934S;0941934S;94076
Efrei / Universit Paris-est Marne-la-Valle;Villejuif;0941934S;0941934S;94076
Universit de Marne la Valle;Villejuif;0772502B;0772502B;94076
Institut des Sciences de la Vigne et du Vin (ISVV);Villenave d'Ornon;0333298F;0330190C;33550
Dinah Derycke;Villeneuve d'Ascq;0594375K;0594375K;59009
Iteem - Ecole centrale de lille;Villeneuve d'Ascq;0590349J;0590349J;59009
Lille1;Villeneuve d'Ascq;0593559Y;0593559Y;59009
Universit Lille 3;Villeneuve d'Ascq;0593561A;0593561A;59009
Universit Lille 1;Villeneuve d'Ascq;0593559Y;0593559Y;59009
Universit des sciences et technologies Lille 1;Villeneuve d'Ascq;0593559Y;0593559Y;59009
Universit Lille 3 Charles de Gaulle;Villeneuve d'ascq;0593561A;0593561A;59009
IEMN - UMR CNRS 8520;Villeneuve d'Ascq (59);0593559Y;;59009
TELECOM LILLE;VILLENEUVE D'ASQ;0593559Y;0595868H;59009
Lyce Georges Brassens;Villeneuve le roi;0940743X;0940743X;94077
Universit des Sciences et Technologies de Lille 1;Villeneuve-d'Ascq;0593559Y;0593559Y;59009
IUT Nancy Brabois;Villers ls Nancy;0542493S;0541205S;54578
IUT Nancy-Brabois;Villers-ls-Nancy;0542493S;0541205S;54578
IUT Nancy-Brabois;Villers-ls-Nancy;0542493S;0541205S;54578
UFR STAPS;Villers-ls-Nancy;0542493S;0540120M;54578
Institut Galile ;Villetaneuse;0931238R;0932059H;93079
PARIS XIII;VILLETANEUSE;0931238R;0931238R;93079
Universit paris 13;Villetaneuse;0931238R;0931238R;93079
IUT VILLETANEUSE;VILLETANEUSE;0931238R;0931235M;93079
INSA Lyon;Villeurbanne;0690192J;0690192J;69266
enssib;Villeurbanne;0692459Y;0692459Y;69266
CPE Lyon;Villeurbanne;0693623N;0693623N;69266
lyon1;villeurbanne;0691774D;0691774D;69266
IUT Lyon 1;Villeurbanne;0691774D;0694121E;69266
INSA de Lyon;Villeurbanne;0690192J;0690192J;69266
Universit Lyon 1;Villeurbanne;0691774D;0691774D;69266
Universit Claude Bernard Lyon 1;Villeurbanne;0691774D;0691774D;69266
Universit Claude Bernard LYON 1 ;VILLEURBANNE 69;0691774D;0691774D;69266
Universit Paris 8;Vincennes Saint Denis;0931827F;0931827F;94080
IUT Snart-Fontainebleau antenne de Fontainebleau;Vulaines sur Seine;0941111X;0772346G;77186
CEFASIM;Yutz;0572698Y;0573690B;57757
IUT de Dijon-Auxerre - Universit de Dijon/ University of Zagreb (Croatie);Zagreb;0211237F;0211139Z;21231
